app_id,app_slug,package_type,package_name,declared_version,resolved_version,flutter_constraint,status,source
APP-0006,aligna,dependency,cupertino_icons,^1.0.8,1.0.8,,ok,github:onnellab/aligna/pubspec.yaml
APP-0006,aligna,dependency,file_picker,^10.3.10,10.3.10,,ok,github:onnellab/aligna/pubspec.yaml
APP-0006,aligna,dependency,flutter,sdk:flutter,0.0.0,,ok,github:onnellab/aligna/pubspec.yaml
APP-0006,aligna,dependency,flutter_localizations,sdk:flutter,0.0.0,,ok,github:onnellab/aligna/pubspec.yaml
APP-0006,aligna,dependency,get_it,^8.2.0,8.3.0,,ok,github:onnellab/aligna/pubspec.yaml
APP-0006,aligna,dependency,in_app_purchase,^3.3.0,3.3.0,,ok,github:onnellab/aligna/pubspec.yaml
APP-0006,aligna,dependency,in_app_review,^2.0.11,2.0.11,,ok,github:onnellab/aligna/pubspec.yaml
APP-0006,aligna,dependency,shared_preferences,^2.5.3,2.5.4,,ok,github:onnellab/aligna/pubspec.yaml
APP-0006,aligna,dependency,url_launcher,^6.3.2,6.3.2,,ok,github:onnellab/aligna/pubspec.yaml
APP-0006,aligna,flutter_sdk,flutter,>=3.38.0,,>=3.38.0,ok,github:onnellab/aligna/pubspec.yaml
APP-0005,clipnest,dependency,cupertino_icons,^1.0.8,1.0.8,,ok,github:onnellab/clipnest/pubspec.yaml
APP-0005,clipnest,dependency,flutter,sdk:flutter,0.0.0,,ok,github:onnellab/clipnest/pubspec.yaml
APP-0005,clipnest,dependency,flutter_localizations,sdk:flutter,0.0.0,,ok,github:onnellab/clipnest/pubspec.yaml
APP-0005,clipnest,dependency,in_app_review,^2.0.10,2.0.11,,ok,github:onnellab/clipnest/pubspec.yaml
APP-0005,clipnest,dependency,package_info_plus,^8.3.0,8.3.1,,ok,github:onnellab/clipnest/pubspec.yaml
APP-0005,clipnest,dependency,path,^1.9.1,1.9.1,,ok,github:onnellab/clipnest/pubspec.yaml
APP-0005,clipnest,dependency,path_provider,^2.1.5,2.1.5,,ok,github:onnellab/clipnest/pubspec.yaml
APP-0005,clipnest,dependency,shared_preferences,^2.5.3,2.5.4,,ok,github:onnellab/clipnest/pubspec.yaml
APP-0005,clipnest,dependency,sqflite,^2.4.2,2.4.2,,ok,github:onnellab/clipnest/pubspec.yaml
APP-0005,clipnest,dependency,url_launcher,^6.3.2,6.3.2,,ok,github:onnellab/clipnest/pubspec.yaml
APP-0005,clipnest,flutter_sdk,flutter,>=3.38.4,,>=3.38.4,ok,github:onnellab/clipnest/pubspec.yaml
APP-0007,melivra,dependency,cupertino_icons,^1.0.8,1.0.9,,ok,github:onnellab/melivra/pubspec.yaml
APP-0007,melivra,dependency,dart_tags,^0.4.1,0.4.1,,ok,github:onnellab/melivra/pubspec.yaml
APP-0007,melivra,dependency,ffmpeg_kit_flutter_new_audio,^2.0.0,2.4.2,,ok,github:onnellab/melivra/pubspec.yaml
APP-0007,melivra,dependency,file_picker,^11.0.2,11.0.2,,ok,github:onnellab/melivra/pubspec.yaml
APP-0007,melivra,dependency,flutter,sdk:flutter,0.0.0,,ok,github:onnellab/melivra/pubspec.yaml
APP-0007,melivra,dependency,flutter_localizations,sdk:flutter,0.0.0,,ok,github:onnellab/melivra/pubspec.yaml
APP-0007,melivra,dependency,flutter_media_metadata,^1.0.0+1,1.0.0+1,,ok,github:onnellab/melivra/pubspec.yaml
APP-0007,melivra,dependency,go_router,^17.3.0,17.3.0,,ok,github:onnellab/melivra/pubspec.yaml
APP-0007,melivra,dependency,image,^4.8.0,4.9.1,,ok,github:onnellab/melivra/pubspec.yaml
APP-0007,melivra,dependency,in_app_purchase,^3.2.3,3.3.0,,ok,github:onnellab/melivra/pubspec.yaml
APP-0007,melivra,dependency,in_app_review,^2.0.10,2.0.12,,ok,github:onnellab/melivra/pubspec.yaml
APP-0007,melivra,dependency,path,^1.9.1,1.9.1,,ok,github:onnellab/melivra/pubspec.yaml
APP-0007,melivra,dependency,shared_preferences,^2.5.3,2.5.5,,ok,github:onnellab/melivra/pubspec.yaml
APP-0007,melivra,dependency,sqflite,^2.4.2,2.4.2+1,,ok,github:onnellab/melivra/pubspec.yaml
APP-0007,melivra,dependency,sqflite_common_ffi,^2.3.6,2.4.0+3,,ok,github:onnellab/melivra/pubspec.yaml
APP-0007,melivra,dependency,sqlite3,^3.4.0,3.4.0,,ok,github:onnellab/melivra/pubspec.yaml
APP-0007,melivra,flutter_sdk,flutter,>=3.38.0,,>=3.38.0,ok,github:onnellab/melivra/pubspec.yaml
APP-0001,quivra,dependency,cupertino_icons,^1.0.8,1.0.8,,ok,github:onnellab/quivra/pubspec.yaml
APP-0001,quivra,dependency,ffmpeg_kit_flutter_new_full,^2.0.0,2.0.0,,ok,github:onnellab/quivra/pubspec.yaml
APP-0001,quivra,dependency,flutter,sdk:flutter,0.0.0,,ok,github:onnellab/quivra/pubspec.yaml
APP-0001,quivra,dependency,flutter_riverpod,^2.6.1,2.6.1,,ok,github:onnellab/quivra/pubspec.yaml
APP-0001,quivra,dependency,path_provider,^2.1.5,2.1.5,,ok,github:onnellab/quivra/pubspec.yaml
APP-0001,quivra,dependency,shared_preferences,^2.3.2,2.5.4,,ok,github:onnellab/quivra/pubspec.yaml
APP-0001,quivra,flutter_sdk,flutter,>=3.38.4,,>=3.38.4,ok,github:onnellab/quivra/pubspec.yaml
APP-0004,segra,dependency,app_settings,any,7.0.0,,ok,github:onnellab/segra/pubspec.yaml
APP-0004,segra,dependency,cupertino_icons,^1.0.8,1.0.8,,ok,github:onnellab/segra/pubspec.yaml
APP-0004,segra,dependency,ffmpeg_kit_flutter_new,^4.1.0,4.1.0,,ok,github:onnellab/segra/pubspec.yaml
APP-0004,segra,dependency,file_selector,^1.0.3,1.1.0,,ok,github:onnellab/segra/pubspec.yaml
